OBJECTID,Document Nbr,Crash Year,Crash Date,Crash Military Time,Crash Severity,K_People,A_People,B_People,C_People,Persons Injured,Pedestrians Killed,Pedestrians Injured,Vehicle Count,Collision Type,Weather Condition,Light Condition,Roadway Surface Condition,Relation To Roadway,Roadway Alignment,Roadway Surface Type,Roadway Defect,Roadway Description,Intersection Type,Traffic Control Type,Traffic Control Status,Work Zone Related,Work Zone Location,Work Zone Type,School Zone,First Harmful Event,First Harmful Event Loc,Alcohol?,Animal Related?,Unrestrained?,Bike?,Distracted?,Drowsy?,Drug Related?,Guardrail Related?,Hitrun?,Lgtruck?,Motorcycle?,Pedestrian?,Speed?,Max Speed Diff,RoadDeparture Type,Intersection Analysis,Senior?,Young?,Mainline?,Night?,VDOT District,Juris Code,Physical Juris Name,Functional Class,Facility Type,Area Type,SYSTEM,VSP,Ownership,Planning District,MPO Name,RTE Name,RNS MP,Node,Node Offset (ft),x,y,CRASH DATETIME,DAY OF WEEK CODE,DAY OF WEEK DESCRIPTION,CRASH CLASSIFICATION CODE,CRASH CLASSIFICATION DESCRIPTION,COLLISION ON PRIVATE PROPERTY,PEDESTRIAN INVOLVED,MANNER OF IMPACT CODE,MANNER OF IMPACT DESCRIPTION,ALCOHOL INVOLVED,DRUG INVOLVED,ROAD SURFACE CODE,ROAD SURFACE DESCRIPTION,LIGHTING CONDITION CODE,LIGHTING CONDITION DESCRIPTION,WEATHER 1 CODE,WEATHER 1 DESCRIPTION,WEATHER 2 CODE,WEATHER 2 DESCRIPTION,SEATBELT USED,MOTORCYCLE INVOLVED,MOTORCYCLE HELMET USED,BICYCLED INVOLVED,BICYCLE HELMET USED,LATITUDE,LONGITUDE,PRIMARY CONTRIBUTING CIRCUMSTANCE CODE,PRIMARY CONTRIBUTING CIRCUMSTANCE DESCRIPTION,SCHOOL BUS INVOLVED CODE,SCHOOL BUS INVOLVED DESCRIPTION,WORK ZONE,WORK ZONE LOCATION CODE,WORK ZONE LOCATION DESCRIPTION,WORK ZONE TYPE CODE,WORK ZONE TYPE DESCRIPTION,WORKERS PRESENT,the_geom,COUNTY CODE,COUNTY NAME,YEAR
11,DE-2011-000011,2011,05/23/2011,1258,O,0,0,0,0,0,0,0,,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.58174,39.74141,2011 May 23 12:58:00 PM,2,Monday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.74141,-75.58174,8,Following too close,0,No,N,,,,,N,POINT (-75.581740000273 39.741410000012),N,New Castle,2011
12,DE-2014-000012,2014,07/24/2014,1806,O,0,0,0,0,0,0,0,,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,005,005. Sussex County,,,,,,,,,,,,,-75.09658,38.71352,2014 Jul 24 06:06:00 PM,5,Thursday,1,Non-Reportable,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,2,Cloudy,,,Y,N,N,N,N,38.71352,-75.09658,8,Following too close,0,No,N,,,,,N,POINT (-75.096579999853 38.713520000338),S,Sussex,2014
13,DE-2009-000013,2009,05/04/2009,1853,B,0,0,1,0,1,0,0,,1. Rear End,5. Rain,2. Daylight,2. Wet,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.5579946,39.7401456,2009 May 04 06:53:00 PM,2,Monday,3,Personal Injury Crash,N,N,1,Front to rear,N,N,2,Wet,1,Daylight,4,Rain,,,Y,N,N,N,N,39.7401456,-75.5579946,8,Following too close,0,No,N,,,,,N,POINT (-75.557994599704 39.740145600259),N,New Castle,2009
14,DE-2015-000014,2015,06/01/2015,2100,O,0,0,0,0,0,0,0,,Not Provided,9. Other,7. Unknown,7. Other,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.74566,39.68416,2015 Jun 01 09:00:00 PM,2,Monday,1,Non-Reportable,N,N,99,Unknown,N,N,99,Unknown,99,Unknown,99,Unknown,,,Y,N,N,N,N,39.68416,-75.74566,99,Unknown,0,No,N,,,,,N,POINT (-75.745659999996 39.684160000041),N,New Castle,2015
15,DE-2010-000015,2010,11/19/2010,1247,O,0,0,0,0,0,0,0,,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.5434,39.73813,2010 Nov 19 12:47:00 PM,6,Friday,2,Property Damage Only,N,N,3,Angle,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.73813,-75.5434,2,Failed to yield right of way,0,No,N,,,,,N,POINT (-75.543400000067 39.738130000195),N,New Castle,2010
16,DE-2012-000016,2012,02/11/2012,2115,O,0,0,0,0,0,0,0,,2. Angle,5. Rain,2. Daylight,2. Wet,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,001,001. Kent County,,,,,,,,,,,,,-75.54913,39.17972,2012 Feb 11 09:15:00 PM,7,Saturday,2,Property Damage Only,N,N,3,Angle,N,N,2,Wet,1,Daylight,4,Rain,,,Y,N,N,N,N,39.17972,-75.54913,11,"Driver inattention, distraction, or fatigue",0,No,N,,,,,N,POINT (-75.549130000226 39.179720000083),K,Kent,2012
17,DE-2015-000017,2015,06/04/2015,0255,O,0,0,0,0,0,0,0,,16. Other,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,Yes,,003,003. New Castle County,,,,,,,,,,,,,-75.58686,39.7299,2015 Jun 04 02:55:00 AM,4,Wednesday,2,Property Damage Only,N,N,7,Rear to rear,N,N,1,Dry,5,Dark-Not Lighted,1,Clear,,,Y,N,N,N,N,39.7299,-75.58686,14,Improper backing,0,No,N,,,,,N,POINT (-75.586860000337 39.729899999852),N,New Castle,2015
18,DE-2011-000018,2011,10/03/2011,2310,O,0,0,0,0,0,0,0,,1. Rear End,1. No Adverse Condition (Clear/Cloudy),4. Darkness - Road Lighted,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,Yes,,003,003. New Castle County,,,,,,,,,,,,,-75.71552,39.60806,2011 Oct 03 11:10:00 PM,2,Monday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,4,Dark-Lighted,1,Clear,,,Y,N,N,N,N,39.60806,-75.71552,14,Improper backing,0,No,N,,,,,N,POINT (-75.71551999957 39.608060000217),N,New Castle,2011
19,DE-2009-000019,2009,02/24/2009,1338,B,0,0,1,0,1,0,0,,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,005,005. Sussex County,,,,,,,,,,,,,-75.43182,38.6507839,2009 Feb 24 01:38:00 PM,3,Tuesday,3,Personal Injury Crash,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,38.6507839,-75.43182,,,0,No,N,,,,,N,POINT (-75.431819999911 38.650783899913),S,Sussex,2009
20,DE-2009-000020,2009,06/27/2009,1028,O,0,0,0,0,0,0,0,,8. Non-Collision,1. No Adverse Condition (Clear/Cloudy),1. Dawn,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,005,005. Sussex County,,,,,,,,,,,,,-75.1653055,38.557088,2009 Jun 27 10:28:00 AM,7,Saturday,2,Property Damage Only,N,N,0,Not a collision between two vehicles,N,N,1,Dry,2,Dawn,1,Clear,,,Y,N,N,N,N,38.557088,-75.1653055,,,0,No,N,,,,,N,POINT (-75.165305500172 38.557088000087),S,Sussex,2009
21,DE-2009-000021,2009,05/18/2009,1035,O,0,0,0,0,0,0,0,,8. Non-Collision,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,001,001. Kent County,,,,,,,,,,,,,-75.5168553,39.1665177,2009 May 18 10:35:00 AM,2,Monday,2,Property Damage Only,N,N,0,Not a collision between two vehicles,N,N,1,Dry,1,Daylight,2,Cloudy,,,Y,N,N,N,N,39.1665177,-75.5168553,88,Other,0,No,N,,,,,N,POINT (-75.516855299952 39.166517700251),K,Kent,2009
22,DE-2011-000022,2011,02/25/2011,1820,O,0,0,0,0,0,0,0,,3. Head On,1. No Adverse Condition (Clear/Cloudy),2. Daylight,2. Wet,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.45827,39.8021,2011 Feb 25 06:20:00 PM,6,Friday,1,Non-Reportable,N,N,2,Front to front,N,N,2,Wet,1,Daylight,2,Cloudy,,,Y,N,N,N,N,39.8021,-75.45827,9,Made improper turn,0,No,N,,,,,N,POINT (-75.458269999629 39.802099999667),N,New Castle,2011
23,DE-2012-000023,2012,09/15/2012,2158,B,0,0,1,0,1,0,0,,4. Sideswipe - Same Direction,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,Yes,No,Belted,No,No,No,Yes,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,001,001. Kent County,,,,,,,,,,,,,-75.53493,39.11876,2012 Sep 15 09:58:00 PM,7,Saturday,3,Personal Injury Crash,N,N,4,"Sideswipe, same direction",Y,Y,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.11876,-75.53493,10,Driving under the influence,0,No,N,,,,,N,POINT (-75.53492999995 39.118759999962),K,Kent,2012
24,DE-2012-000024,2012,03/02/2012,1826,O,0,0,0,0,0,0,0,,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.62092,39.73762,2012 Mar 02 06:26:00 PM,6,Friday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,2,Cloudy,,,Y,N,N,N,N,39.73762,-75.62092,11,"Driver inattention, distraction, or fatigue",0,No,N,,,,,N,POINT (-75.62091999983 39.737619999959),N,New Castle,2012
25,DE-2011-000025,2011,08/22/2011,2004,O,0,0,0,0,0,0,0,,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.67555,39.71398,2011 Aug 22 08:04:00 PM,2,Monday,2,Property Damage Only,N,N,3,Angle,N,N,1,Dry,1,Daylight,2,Cloudy,,,Y,N,N,N,N,39.71398,-75.67555,7,Improper lane change,0,No,N,,,,,N,POINT (-75.675549999992 39.713980000246),N,New Castle,2011
26,DE-2013-000026,2013,03/04/2013,1739,O,0,0,0,0,0,0,0,,16. Other,1. No Adverse Condition (Clear/Cloudy),1. Dawn,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.53569,39.70948,2013 Mar 04 05:39:00 PM,2,Monday,1,Non-Reportable,N,N,88,Other,N,N,1,Dry,2,Dawn,1,Clear,,,Y,N,N,N,N,39.70948,-75.53569,20,"Roadway circumstances - debris, holes, work zone,",0,No,N,,,,,N,POINT (-75.535689999833 39.709479999941),N,New Castle,2013
27,DE-2012-000027,2012,02/27/2012,1402,O,0,0,0,0,0,0,0,,Not Provided,9. Other,7. Unknown,7. Other,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.66704,39.39178,2012 Feb 27 02:02:00 PM,2,Monday,1,Non-Reportable,N,N,,,N,N,,,,,,,,,Y,N,N,N,N,39.39178,-75.66704,88,Other,0,No,N,,,,,N,POINT (-75.667039999692 39.391780000055),N,New Castle,2012
28,DE-2011-000028,2011,10/28/2011,1146,B,0,0,1,0,1,0,0,,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.66853,39.58151,2011 Oct 28 11:46:00 AM,6,Friday,3,Personal Injury Crash,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.58151,-75.66853,11,"Driver inattention, distraction, or fatigue",0,No,N,,,,,N,POINT (-75.66853000022 39.581510000337),N,New Castle,2011
29,DE-2010-000029,2010,09/26/2010,1505,O,0,0,0,0,0,0,0,,2. Angle,5. Rain,2. Daylight,2. Wet,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.53992,39.75266,2010 Sep 26 03:05:00 PM,1,Sunday,2,Property Damage Only,N,N,3,Angle,N,N,2,Wet,1,Daylight,4,Rain,,,Y,N,N,N,N,39.75266,-75.53992,2,Failed to yield right of way,0,No,N,,,,,N,POINT (-75.539920000318 39.752659999694),N,New Castle,2010
30,DE-2013-000030,2013,09/17/2013,1023,O,0,0,0,0,0,0,0,,8. Non-Collision,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,Yes,,005,005. Sussex County,,,,,,,,,,,,,-75.20511,38.64191,2013 Sep 17 10:23:00 AM,3,Tuesday,2,Property Damage Only,N,N,0,Not a collision between two vehicles,N,N,1,Dry,5,Dark-Not Lighted,1,Clear,,,Y,N,N,N,N,38.64191,-75.20511,17,Animal in Roadway - Deer,0,No,N,,,,,N,POINT (-75.20511000043 38.641910000161),S,Sussex,2013
31,DE-2013-000031,2013,10/07/2013,2147,O,0,0,0,0,0,0,0,,8. Non-Collision,5. Rain,2. Daylight,2. Wet,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,005,005. Sussex County,,,,,,,,,,,,,-75.15472,38.73003,2013 Oct 07 09:47:00 PM,2,Monday,2,Property Damage Only,N,N,0,Not a collision between two vehicles,N,N,2,Wet,1,Daylight,4,Rain,,,Y,N,N,N,N,38.73003,-75.15472,1,Speeding,0,No,N,,,,,N,POINT (-75.154719999901 38.73003000028),S,Sussex,2013
32,DE-2009-000032,2009,07/03/2009,1551,O,0,0,0,0,0,0,0,,4. Sideswipe - Same Direction,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.5494062,39.8102891,2009 Jul 03 03:51:00 PM,6,Friday,2,Property Damage Only,N,N,4,"Sideswipe, same direction",N,N,1,Dry,1,Daylight,2,Cloudy,,,Y,N,N,N,N,39.8102891,-75.5494062,,,0,No,N,,,,,N,POINT (-75.549406199837 39.810289100247),N,New Castle,2009
33,DE-2011-000033,2011,11/04/2011,1620,O,0,0,0,0,0,0,0,,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.69875,39.67746,2011 Nov 04 04:20:00 PM,6,Friday,1,Non-Reportable,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.67746,-75.69875,11,"Driver inattention, distraction, or fatigue",0,No,N,,,,,N,POINT (-75.698750000114 39.677460000342),N,New Castle,2011
34,DE-2013-000034,2013,03/09/2013,1635,O,0,0,0,0,0,0,0,,Not Provided,1. No Adverse Condition (Clear/Cloudy),4. Darkness - Road Lighted,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,Yes,,003,003. New Castle County,,,,,,,,,,,,,-75.5511,39.75005,2013 Mar 09 04:35:00 PM,7,Saturday,1,Non-Reportable,Y,N,99,Unknown,N,N,1,Dry,4,Dark-Lighted,1,Clear,,,Y,N,N,N,N,39.75005,-75.5511,99,Unknown,0,No,N,,,,,N,POINT (-75.551100000254 39.750049999953),N,New Castle,2013
35,DE-2015-000035,2015,11/22/2015,1745,O,0,0,0,0,0,0,0,,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.5047,39.80358,2015 Nov 22 05:45:00 PM,1,Sunday,1,Non-Reportable,Y,N,3,Angle,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.80358,-75.5047,12,Driving in a careless or reckless manner,0,No,N,,,,,N,POINT (-75.50470000001 39.803580000178),N,New Castle,2015
