Casetrackingid,Accidentdate,Accidenttime,Numberkilled,Numberinjured,Totalvehicles,Totalnonmotorists,Juvenilesinvolvedindicator,Secondarycrashindicator,Constructionzoneindicator,Schoolzoneindicator,Latitude,Longitude,Onroadaddress,_Primarystreet,_Crossstreet,Location,Numberoflanesblocked,Laneposition,Harmfulevent1,Harmfulevent2,Harmfulevent3,Harmfulevent4,Mostharmfulevent,Roadcontourcurves,Roadcontourgrade,Approachovertakingturn,Lightingcondition,Roaddescription,Roadcondition,Weathercondition1,Weathercondition2,Hitandrun_V1,Noncontact_V1,Parked_V1,Unlicenseddriver_V1,Duiindicator_V1,Vehicledefectcondition_V1,Positioninvehicle_D1,Drivingrestrictions_D1,Drivingendorsements_D1,Ejectionpath_D1,Safetyequipmentuse_D1,Safetyequipmenthelmet_D1,Age_D1,Airbagdeployment_D1,Injuryseverity_D1,Alcoholsuspected_D1,Marijuanasuspected_D1,Otherdrugssuspected_D1,Testedforotherdrugs_D1,Personsexcode_D1,Deadatscene_D1,Vehicletype_V1,Specialfunction_V1,Emergencylightsactivated_V1,Directionoftravel_V1,Vehiclemovement_V1,Roadwayspeedlimit_V1,Estimatedvehiclespeed_V1,Driverstatedspeed_V1,Driveraction1_V1,Driveraction2_V1,Mostapprthumancontrfactor1_V1,Mostapprthumancontrfactor2_V1,Mostapprthumancontrfactor3_V1,Autonomousvehiclecapability_V1,Drivercededcontrol_V1,Nonmotoristtype_V1,Nonmotoristmovement_V1,Nonmotoristlocation_V1,Nonmotoristlegofint_V1,Nonmotoristtypeoffacility_V1,Nonmotoristaction1_V1,Nonmotoristaction2_V1,Nonmotoristcontrfctr1_V1,Nonmotoristcontrfctr2_V1,Nonmotoristcontrfctr3_V1,Hitandrun_V2,Noncontact_V2,Parked_V2,Unlicenseddriver_V2,Duiindicator_V2,Vehicledefectcondition_V2,Positioninvehicle_D2,Drivingrestrictions_D2,Drivingendorsements_D2,Ejectionpath_D2,Safetyequipmentuse_D2,Safetyequipmenthelmet_D2,Age_D2,Airbagdeployment_D2,Injuryseverity_D2,Alcoholsuspected_D2,Marijuanasuspected_D2,Otherdrugssuspected_D2,Testedforotherdrugs_D2,Personsexcode_D2,Vehicletype_V2,Specialfunction_V2,Emergencylightsactivated_V2,Directionoftravel_V2,Vehiclemovement_V2,Roadwayspeedlimit_V2,Estimatedvehiclespeed_V2,Driverstatedspeed_V2,Driveraction1_V2,Driveraction2_V2,Mostapprthumancontrfactor1_V2,Mostapprthumancontrfactor2_V2,Mostapprthumancontrfactor3_V2,Autonomousvehiclecapability_V2,Drivercededcontrol_V2,Nonmotoristtype_V2,Nonmotoristmovement_V2,Nonmotoristlocation_V2,Nonmotoristlegofint_V2,Nonmotoristtypeoffacility_V2,Nonmotoristaction1_V2,Nonmotoristaction2_V2,Nonmotoristcontrfctr1_V2,Nonmotoristcontrfctr2_V2,Nonmotoristcontrfctr3_V2,Hitandrun_V3,Noncontact_V3,Parked_V3,Unlicenseddriver_V3,Duiindicator_V3,Positioninvehicle_D3,Drivingrestrictions_D3,Drivingendorsements_D3,Ejection_D3,Safetyequipmentuse_D3,Age_D3,Airbagdeployment_D3,Injuryseverity_D3,Alcoholsuspected_D3,Marijuanasuspected_D3,Otherdrugssuspected_D3,Testedforotherdrugs_D3,Personsexcode_D3,Vehicletype_V3,Specialfunction_V3,Emergencylightsactivated_V3,Directionoftravel_V3,Vehiclemovement_V3,Roadwayspeedlimit_V3,Estimatedvehiclespeed_V3,Driverstatedspeed_V3,Driveraction1_V3,Driveraction2_V3,Mostapprthumancontrfactor1_V3,Mostapprthumancontrfactor2_V3,Mostapprthumancontrfactor3_V3,Autonomousvehiclecapability_V3,Drivercededcontrol_V3,Nonmotoristtype_V3,Nonmotoristmovement_V3,Nonmotoristlocation_V3,Nonmotoristlegofint_V3,Nonmotoristtypeoffacility_V3,Nonmotoristaction1_V3,Nonmotoristaction2_V3,Nonmotoristcontrfctr1_V3,Nonmotoristcontrfctr2_V3,Nonmotoristcontrfctr3_V3
250036695,4/29/2025 1:10:00 AM,4/29/2025 1:10:00 AM,0.00,0.00,1.00,0.00,true,false,false,false,39.48,-104.92,7800.00,DANIELS PARK RD,,On-roadway,0.00,1,Wild Animal,,,,Wild Animal,Curve Left,Level,Not Applicable,Dark-unlighted,Non-intersection,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,Did not comply with GDL 6 months,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",17.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,,SUV,No Special Function,false,South,Going Straight,25.00,30.00,,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250036728,4/29/2025 8:02:00 AM,4/29/2025 8:02:00 AM,0.00,0.00,2.00,0.00,false,false,false,false,39.54,-104.81,,LINCOLN AVE,CHAMBERS RD,On-roadway,0.00,1,Side to Side - Same Direction,,,,Side to Side - Same Direction,Straight,Level,Not Applicable,Daylight,At Intersection,Dry,Clear,,true,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",50.00,Not Deployed,No Apparent Injury,No Other Method,Marijuana Not Suspected,No Other Method,Not Tested,f,,Passenger Car/Passenger Van,No Special Function,false,East,Passing,45.00,25.00,10.00,Reckless Driving,Improper Passing on Left,Other Factor,,,No Automation,,,,,,,,,,,,false,false,false,false,false,No Vehicle Defects,Driver,None,Not Complied With,Not Ejected/Not Applicable,Properly used,Helmet Properly Used,69.00,Not Equipped,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,Motorcycle,No Special Function,false,East,Going Straight,45.00,20.00,,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250036933,4/29/2025 3:06:00 PM,4/29/2025 3:06:00 PM,0.00,0.00,2.00,0.00,false,false,false,false,39.54,-104.91,,LINCOLN AVE,QUEBEC ST,On-roadway,2.00,1,Front to Rear,,,,Front to Rear,Straight,Downhill,Not Applicable,Daylight,Non-intersection,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,Complied With,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",57.00,Not Equipped,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,,Passenger Car/Passenger Van,No Special Function,false,West,Going Straight,45.00,35.00,35.00,Other Contributing Action,,Manipulating Electronic Device,,,No Automation,,,,,,,,,,,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",46.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,Passenger Car/Passenger Van,No Special Function,false,West,Slowing,45.00,20.00,31.00,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250037005,4/29/2025 5:27:00 PM,4/29/2025 5:27:00 PM,0.00,0.00,2.00,0.00,true,false,false,false,39.55,-105.00,,SGT JON STILES DR,TOWN CENTER DR,On-roadway,2.00,1,Front to Side,Curb,,,Front to Side,Straight,Level,Not Applicable,Daylight,At Intersection,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,Did not comply with GDL 6 months,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",16.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,,SUV,No Special Function,false,East,Going Straight,12.00,20.00,18.00,Failed to Yield ROW,,Looked / Did Not See,Driver Inexperience,,No Automation,,,,,,,,,,,,false,false,false,false,false,No Vehicle Defects,Driver,Complied With,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",16.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,SUV,No Special Function,false,North,Going Straight,40.00,40.00,40.00,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250037182,4/30/2025 11:14:00 AM,4/30/2025 11:14:00 AM,0.00,0.00,2.00,0.00,true,false,false,false,39.55,-104.99,,HIGHLANDS RANCH PKWY,BROADWAY,On-roadway,0.00,3,Front to Rear,,,,Front to Rear,Straight,Level,Not Applicable,Daylight,Intersection Related,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",33.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,,SUV,No Special Function,false,North,Other,45.00,2.00,0.00,Other Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",52.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,SUV,No Special Function,false,North,Stopped in Traffic,45.00,0.00,0.00,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250037333,4/30/2025 6:04:00 PM,4/30/2025 6:04:00 PM,0.00,0.00,2.00,0.00,false,false,false,false,39.54,-104.76,,PINE DR,PINE LN,On-roadway,0.00,1,Front to Side,,,,Front to Side,Straight,Level,Overtaking Turn,Daylight,At Intersection,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",18.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,,SUV,No Special Function,false,North,Going Straight,35.00,10.00,10.00,Failed to Yield ROW,,Driver Inexperience,,,No Automation,,,,,,,,,,,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",78.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,Pickup Truck/Utility Van,No Special Function,false,East,Making Left Turn,35.00,5.00,5.00,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250037912,5/2/2025 2:21:00 PM,5/2/2025 2:21:00 PM,0.00,2.00,2.00,0.00,false,false,false,false,39.57,-104.99,,COUNTY LINE RD,BROADWAY,On-roadway,11.00,2,Front to Front,,,,Front to Front,Straight,Downhill,Approach Turn,Daylight,At Intersection,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Not used,"N/A Cars, truck, etc.",59.00,Deployed at pos. and others,Suspected Minor Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,,Pickup Truck/Utility Van,No Special Function,false,West,Making Left Turn,45.00,45.00,,Failed to Yield ROW,,Looked / Did Not See,,,No Automation,,,,,,,,,,,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Unknown,"N/A Cars, truck, etc.",24.00,Deployed at pos. and others,Suspected Serious Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,SUV,No Special Function,false,East,Going Straight,45.00,45.00,,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250037972,5/2/2025 5:06:00 PM,5/2/2025 5:06:00 PM,0.00,0.00,2.00,0.00,false,false,false,false,39.51,-105.04,8155.00,PINEY RIVER AVE,,On-roadway,0.00,1,Side to Side - Same Direction,,,,Side to Side - Same Direction,Straight,Level,Not Applicable,Daylight,Driveway Access Related,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,Complied With,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",80.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,,Pickup Truck/Utility Van,No Special Function,false,South,Making Right Turn,25.00,5.00,5.00,Failed to Yield ROW,,Looked / Did Not See,,,No Automation,,,,,,,,,,,,false,false,false,false,false,No Vehicle Defects,Driver,Complied With,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",29.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,SUV,No Special Function,false,West,Going Straight,25.00,10.00,10.00,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250037987,5/2/2025 4:13:00 PM,5/2/2025 4:13:00 PM,0.00,1.00,1.00,1.00,false,false,false,false,39.55,-104.98,,RIDGEGLEN WAY,SOUTHPARK RD,On-roadway,0.00,1,Pedestrian,,,,Pedestrian,Straight,Level,Not Applicable,Daylight,Intersection Related,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",21.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,,SUV,No Special Function,false,East,Making Left Turn,25.00,3.00,5.00,Failed to Yield ROW,Improper Turn,Looked / Did Not See,,,No Automation,,Pedestrian,Going Straight,Intersection-Marked Crosswalk,East,Crosswalk,No Contributing Action,,No Apparent Contributing Factor,,,,,,,,,,,,,,No Helmet,40.00,,Suspected Minor Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250038140,5/3/2025 10:26:00 AM,5/3/2025 10:26:00 AM,0.00,0.00,2.00,0.00,false,false,false,false,39.55,-104.91,6950.00,EDGEWOOD CT,,On-roadway,0.00,1,Front to Rear,,,,Front to Rear,Straight,Downhill,Not Applicable,Daylight,Driveway Access Related,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,Not Complied With,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",18.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,,SUV,No Special Function,false,North,Backing,25.00,10.00,,Improper Backing,,Driver Inexperience,,,No Automation,,,,,,,,,,,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",65.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,SUV,No Special Function,false,South,Parked,25.00,0.00,0.00,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250038616,5/5/2025 8:02:00 AM,5/5/2025 8:02:00 AM,0.00,0.00,2.00,0.00,true,false,false,false,39.54,-105.02,,HIGHLANDS RANCH PKWY,WILDCAT RESERVE PKWY,On-roadway,1.00,1,Front to Rear,,,,Front to Rear,Straight,Level,Not Applicable,Daylight,Intersection Related,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",52.00,Deployed at pos. only,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,,SUV,No Special Function,false,East,Going Straight,45.00,30.00,38.00,Followed Too Closely,,Not Observed,,,Driver Assistance,,,,,,,,,,,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",45.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,SUV,No Special Function,false,East,Stopped in Traffic,45.00,0.00,1.00,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250038700,4/29/2025 10:28:00 AM,4/29/2025 10:28:00 AM,0.00,0.00,1.00,0.00,false,false,false,false,39.51,-105.05,10417.00,ROXBOROUGH PARK RD,,Ran off left side,0.00,,Light Pole/Utility Pole,,,,Light Pole/Utility Pole,Straight,Level,Not Applicable,Daylight,Driveway Access Related,Sand/Gravel,Clear,,true,false,false,false,false,No Vehicle Defects,Driver,Complied With,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",28.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,,SUV,No Special Function,false,North,Backing,20.00,5.00,,Careless Driving,Improper Backing,Distracted/Other Interior,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250038860,5/5/2025 5:33:00 PM,5/5/2025 5:33:00 PM,0.00,0.00,2.00,0.00,false,false,false,false,39.54,-104.91,,LINCOLN AVE,QUEBEC ST,On-roadway,1.00,2,Front to Rear,,,,Front to Rear,Straight,Downhill,Not Applicable,Daylight,Non-intersection,Dry,Cloudy,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",18.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,,Passenger Car/Passenger Van,No Special Function,false,West,Slowing,45.00,20.00,45.00,Followed Too Closely,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,false,false,false,false,false,No Vehicle Defects,Driver,Complied With,None,Not Ejected/Not Applicable,Not used,"N/A Cars, truck, etc.",52.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,SUV,No Special Function,false,West,Stopped in Traffic,45.00,0.00,0.00,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250038962,5/6/2025 7:52:00 AM,5/6/2025 7:52:00 AM,0.00,0.00,2.00,0.00,true,false,false,false,39.52,-104.93,,MCARTHUR RANCH RD,HEATHERTON ST,On-roadway,5.00,1,Front to Side,,,,Front to Side,Straight,Level,Not Applicable,Daylight,At Intersection,Wet,Rain,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",24.00,Deployed at pos. and others,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,,SUV,No Special Function,false,North,Making Left Turn,25.00,15.00,10.00,Failed to Yield ROW,,Looked / Did Not See,,,No Automation,,,,,,,,,,,,false,false,false,false,false,No Vehicle Defects,Driver,Complied With,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",17.00,Deployed at pos. and others,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,Passenger Car/Passenger Van,No Special Function,false,East,Going Straight,40.00,40.00,45.00,No Contributing Action,,No apparent contributing factor,,,Driver Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250038985,5/6/2025 9:15:00 AM,5/6/2025 9:15:00 AM,0.00,0.00,2.00,0.00,true,false,false,false,39.55,-104.95,,UNIVERSITY BLVD,WHITE BAY DR,On-roadway,3.00,1,Front to Side,,,,Front to Side,Straight,Level,Not Applicable,Daylight,At Intersection,Wet,Rain,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",47.00,Deployed at pos. and others,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,,Passenger Car/Passenger Van,No Special Function,false,East,Making Left Turn,25.00,10.00,10.00,Failed to Yield ROW,,Looked / Did Not See,,,No Automation,,,,,,,,,,,,false,false,false,false,false,No Vehicle Defects,Driver,Complied With,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",16.00,Not Deployed,Possible Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,Pickup Truck/Utility Van,No Special Function,false,South,Going Straight,45.00,45.00,42.00,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250039129,5/6/2025 4:00:00 PM,5/6/2025 4:00:00 PM,0.00,0.00,2.00,0.00,false,false,false,false,39.56,-104.90,8500.00,QUEBEC ST,,On-roadway,1.00,1,Side to Side - Same Direction,,,,Side to Side - Same Direction,Straight,Downhill,Overtaking Turn,Daylight,Intersection Related,Wet,Rain,Cloudy,false,false,false,false,false,No Vehicle Defects,Driver,Complied With,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",33.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,,SUV,No Special Function,false,North,Changing lanes,45.00,35.00,10.00,Lane Violation,,Looked / Did Not See,,,No Automation,,,,,,,,,,,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",65.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,SUV,No Special Function,false,North,Going Straight,45.00,35.00,35.00,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250039138,5/6/2025 4:18:00 PM,5/6/2025 4:18:00 PM,0.00,0.00,2.00,0.00,true,false,false,false,39.54,-104.94,,UNIVERSITY BLVD,WILDCAT RESERVE PKWY,On-roadway,0.00,5,Front to Rear,,,,Front to Rear,Straight,Downhill,Not Applicable,Daylight,Intersection Related,Wet,Rain,Cloudy,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",17.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,,Passenger Car/Passenger Van,No Special Function,false,West,Going Straight,45.00,30.00,,Followed Too Closely,,Distracted/Other Interior,,,No Automation,,,,,,,,,,,,false,false,false,false,false,No Vehicle Defects,Driver,Complied With,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",44.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,SUV,No Special Function,false,West,Going Straight,45.00,2.00,,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250039144,5/6/2025 4:40:00 PM,5/6/2025 4:40:00 PM,0.00,0.00,1.00,0.00,false,false,false,false,39.23,-104.94,9300.00,PERRY PARK RD,,Ran off right side,0.00,,Electrical/Utility Box,,,,Electrical/Utility Box,Straight,Downhill,Not Applicable,Daylight,Non-intersection,Slushy,Freezing Rain or Freezing Drizzle,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",53.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,,Passenger Car/Passenger Van,No Special Function,false,South,Out of Control,45.00,38.00,38.00,Too Fast For Conditions,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250039187,5/6/2025 9:17:00 PM,5/6/2025 9:17:00 PM,0.00,0.00,2.00,0.00,false,false,false,false,39.54,-104.91,,UNIVERSITY BLVD,QUEBEC ST,On-roadway,1.00,2,Front to Rear,,,,Front to Rear,Straight,Level,Not Applicable,Dark-lighted,At Intersection,Wet,Rain,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",19.00,Deployed at pos. only,No Apparent Injury,Yes SFST,Marijuana Not Suspected,No Observed,Not Tested,f,,Passenger Car/Passenger Van,No Special Function,false,East,Changing lanes,45.00,35.00,,Lane Violation,Other Contributing Action,Other Factor,Driver Inexperience,,No Automation,,,,,,,,,,,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",42.00,Not Deployed,Possible Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,SUV,No Special Function,false,East,Stopped in Traffic,45.00,0.00,0.00,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250039408,5/7/2025 4:35:00 PM,5/7/2025 4:35:00 PM,0.00,0.00,2.00,0.00,true,false,false,false,39.54,-104.93,,UNIVERSITY BLVD,CRESTHILL LN,On-roadway,0.00,1,Front to Rear,,,,Front to Rear,Curve Right,Level,Not Applicable,Daylight,Non-intersection,Dry,Cloudy,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",18.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,,SUV,No Special Function,false,West,Going Straight,45.00,20.00,15.00,Followed Too Closely,,Distracted/Other Exterior,,,No Automation,,,,,,,,,,,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",62.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,SUV,No Special Function,false,West,Slowing,45.00,20.00,15.00,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250039431,5/7/2025 6:57:00 PM,5/7/2025 6:57:00 PM,0.00,0.00,1.00,0.00,false,false,false,false,39.54,-104.91,,LINCOLN AVE,QUEBEC ST,On-roadway,1.00,3,Curb,,,,Curb,Curve Left,Downhill,Not Applicable,Daylight,Non-intersection,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",48.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,,SUV,No Special Function,false,West,Going Straight,45.00,40.00,40.00,Lane Violation,,Medical,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
