OBJECTID,Document Nbr,Crash Year,Crash Date,Crash Military Time,Crash Severity,K_People,A_People,B_People,C_People,Persons Injured,Pedestrians Killed,Pedestrians Injured,Vehicle Count,Collision Type,Weather Condition,Light Condition,Roadway Surface Condition,Relation To Roadway,Roadway Alignment,Roadway Surface Type,Roadway Defect,Roadway Description,Intersection Type,Traffic Control Type,Traffic Control Status,Work Zone Related,Work Zone Location,Work Zone Type,School Zone,First Harmful Event,First Harmful Event Loc,Alcohol?,Animal Related?,Unrestrained?,Bike?,Distracted?,Drowsy?,Drug Related?,Guardrail Related?,Hitrun?,Lgtruck?,Motorcycle?,Pedestrian?,Speed?,Max Speed Diff,RoadDeparture Type,Intersection Analysis,Senior?,Young?,Mainline?,Night?,VDOT District,Juris Code,Physical Juris Name,Functional Class,Facility Type,Area Type,SYSTEM,VSP,Ownership,Planning District,MPO Name,RTE Name,RNS MP,Node,Node Offset (ft),x,y
11,173095004,2017,11/4/2017 4:00,2259,O,0,0,0,0,0,0,0,2,2. Angle,5. Rain,5. Darkness - Road Not Lighted,2. Wet,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",4. Four Approaches,4. Stop Sign,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,Yes,No,No,No,No,No,No,No,No,,NOT_RD,Urban Intersection,Yes,No,Yes,Yes,4. Richmond,43,043. Henrico County,"7-Local (J,6)",,Urban,NonVDOT secondary,1,2. County Hwy Agency,Richmond Regional,RICH,S-VA043PR BOLLING RD,0.13,,,-77.39140172,37.5726861
12,172155126,2017,8/3/2017 4:00,832,B,0,0,1,0,1,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,Yes,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,Yes,No,Yes,No,4. Richmond,43,043. Henrico County,"4-Minor Arterial (H,3)",4-Two-Way Divided,Urban,NonVDOT secondary,1,2. County Hwy Agency,Richmond Regional,RICH,S-VA043NP NUCKOLS RD,1.25,378037,257.36,-77.57678393,37.66702561
13,172715383,2017,9/28/2017 4:00,1540,O,0,0,0,0,0,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,10. Intersection Related - Within 150 Feet,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",4. Four Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Urban Intersection,Yes,No,Yes,No,8. Staunton,115,115. City of Harrisonburg,"4-Minor Arterial (H,3)",3-Two-Way Undivided,Urban,NonVDOT secondary,2,3. City or Town Hwy Agency,Central Shenandoah,HAR,S-VA115NP MT CLINTON PIKE,1.21,587292,180.6,-78.8720836,38.46851451
14,170915224,2017,4/1/2017 4:00,1543,O,0,0,0,0,0,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,Yes,No,No,No,No,,NOT_RD,Not Intersection,No,No,Yes,No,9. Northern Virginia,29,029. Fairfax County,"1-Interstate (A,1)",4-Two-Way Divided,Urban,VDOT Interstate,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   IS00095SB,164,,,-77.22459497,38.70344019
15,171305288,2017,4/28/2017 4:00,2149,C,0,0,0,1,1,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),4. Darkness - Road Lighted,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",3. Three Approaches,4. Stop Sign,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,Yes,No,Belted,No,Yes,No,No,No,No,No,No,No,No,,NOT_RD,Urban Intersection,Yes,No,Yes,Yes,4. Richmond,123,123. City of Petersburg,6-Minor Collector (5),3-Two-Way Undivided,Urban,NonVDOT secondary,1,3. City or Town Hwy Agency,Crater,TCAT,S-VA123NP N BLVD,0.58,248986,12.28,-77.40218287,37.20585195
16,170165225,2017,1/16/2017 5:00,1444,O,0,0,0,0,0,0,0,3,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,No,Yes,Yes,No,4. Richmond,43,043. Henrico County,"4-Minor Arterial (H,3)",3-Two-Way Undivided,Urban,NonVDOT secondary,1,2. County Hwy Agency,Richmond Regional,RICH,S-VA043PR THREE CHOPT RD,3.79,378574,168.41,-77.57471208,37.62820229
17,172865148,2017,10/6/2017 4:00,900,C,0,0,0,2,2,0,0,2,15. Backed Into,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,1. Main-Line Roadway,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,1. No Traffic Control,1. Yes - Working,2. No,,,1. Yes,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,Yes,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,Yes,No,7. Culpeper,204,204. Town of Culpeper,"7-Local (J,6)",3-Two-Way Undivided,Urban,NonVDOT secondary,2,3. City or Town Hwy Agency,Rappahannock - Rapidan,,S-VA204PR OLD FREDERICKSBURG RD,0.12,,,-77.99630789,38.46323835
18,173005347,2017,10/27/2017 4:00,1403,O,0,0,0,0,0,0,0,3,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,8. Non-Intersection,3. Grade - Straight,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,Yes,15,NOT_RD,Not Intersection,Yes,No,Yes,No,7. Culpeper,2,002. Albemarle County,"1-Interstate (A,1)",4-Two-Way Divided,Rural,VDOT Interstate,3,1. State Hwy Agency,Thomas Jefferson,,R-VA   IS00064WB,103.5,,,-78.79481969,38.04474086
19,173485247,2017,12/9/2017 5:00,1048,C,0,0,0,1,1,0,0,2,2. Angle,5. Rain,2. Daylight,2. Wet,1. Main-Line Roadway,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",4. Four Approaches,4. Stop Sign,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,Yes,No,No,No,No,,NOT_RD,Urban Intersection,No,No,Yes,No,5. Hampton Roads,114,114. City of Hampton,"5-Major Collector (I,4)",4-Two-Way Divided,Urban,NonVDOT primary,5,3. City or Town Hwy Agency,Hampton Roads,HAMP,R-VA   SR00143NB,6.16,1071830,5.39,-76.39029139,36.99979992
20,170835060,2017,3/23/2017 4:00,1027,O,0,0,0,0,0,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,10. Intersection Related - Within 150 Feet,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",4. Four Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Urban Intersection,Yes,No,Yes,No,5. Hampton Roads,134,134. City of Virginia Beach,"7-Local (J,6)",3-Two-Way Undivided,Urban,NonVDOT secondary,5,3. City or Town Hwy Agency,Hampton Roads,HAMP,S-VA134PR S PLAZA TRL,3.38,541355,187.15,-76.12538639,36.81278674
21,172485096,2017,9/1/2017 4:00,2127,O,0,0,0,0,0,0,0,1,16. Other,1. No Adverse Condition (Clear/Cloudy),4. Darkness - Road Lighted,1. Dry,8. Non-Intersection,2. Curve - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,1. No Traffic Control,6. No Traffic Control Device Present,2. No,,,3. No,14. Ditch,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,RD_RIGHT,Not Intersection,No,Yes,Yes,Yes,9. Northern Virginia,76,076. Prince William County,"7-Local (J,6)",3-Two-Way Undivided,Rural,VDOT Secondary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA076SC00600SB,6.17,,,-77.64774824,38.93222883
22,170135066,2017,1/5/2017 5:00,1030,O,0,0,0,0,0,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,10. Intersection Related - Within 150 Feet,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",4. Four Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,Yes,No,Yes,No,9. Northern Virginia,76,076. Prince William County,2-Principal Arterial - Other Freeways and Expressways (B),4-Two-Way Divided,Urban,VDOT Primary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   SR00234SB,20.29,722677,150.47,-77.53510998,38.76680666
23,173115034,2017,10/19/2017 4:00,2347,O,0,0,0,0,0,0,0,1,10. Deer,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",3. Three Approaches,4. Stop Sign,1. Yes - Working,2. No,,,3. No,23. Animal,1. On Roadway,No,Yes,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,No,No,Yes,Yes,6. Fredericksburg,49,049. King & Queen County,"7-Local (J,6)",3-Two-Way Undivided,Rural,VDOT Secondary,1,1. State Hwy Agency,Middle Peninsula,,R-VA049SC00631SB,10.62,408076,87.41,-76.94635436,37.77949327
24,172655105,2017,9/20/2017 4:00,1457,B,0,0,1,0,1,0,0,2,2. Angle,5. Rain,2. Daylight,2. Wet,1. Main-Line Roadway,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,Yes,Yes,No,2. Salem,129,129. City of Salem,"7-Local (J,6)",3-Two-Way Undivided,Urban,NonVDOT secondary,6,3. City or Town Hwy Agency,Roanoke Valley-Alleghany,ROAN,S-VA129PR SPARTAN DR,0.07,572753,424.12,-80.08038704,37.29074961
25,173045482,2017,10/30/2017 4:00,1646,B,0,0,1,0,1,0,1,1,12. Ped,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",3. Three Approaches,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,19. Ped,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,Yes,No,,NOT_RD,VDOT Intersection,Yes,No,Yes,No,3. Lynchburg,5,005. Amherst County,"5-Major Collector (I,4)",3-Two-Way Undivided,Urban,VDOT Secondary,3,1. State Hwy Agency,Region 2000,LYN,R-VA005SC00833WB,0.31,125522,10.57,-79.10524328,37.42961361
26,170795016,2017,3/19/2017 4:00,1856,O,0,0,0,0,0,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,28. Ran Off Road,2. Shoulder,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,RD_UNKNOWN,Not Intersection,Yes,No,Yes,No,6. Fredericksburg,49,049. King & Queen County,"4-Minor Arterial (H,3)",3-Two-Way Undivided,Rural,VDOT Primary,1,1. State Hwy Agency,Middle Peninsula,,R-VA   SR00014WB,28.44,,,-76.75051482,37.56804558
27,170165037,2017,1/15/2017 5:00,0,O,0,0,0,0,0,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),7. Unknown,1. Dry,8. Non-Intersection,1. Straight - Level,1. Concrete,1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,1. No Traffic Control,6. No Traffic Control Device Present,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,Yes,No,No,No,No,,NOT_RD,Not Intersection,No,No,Yes,No,4. Richmond,20,020. Chesterfield County,"7-Local (J,6)",3-Two-Way Undivided,Urban,VDOT Secondary,1,1. State Hwy Agency,"Richmond Regional, Crater",RICH,R-VA020SC03027EB,0.04,207526,325.91,-77.48481054,37.41993569
28,171785248,2017,6/25/2017 4:00,1500,O,0,0,0,0,0,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,9. Within Intersection,3. Grade - Straight,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",4. Four Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,Yes,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,Yes,No,Yes,No,8. Staunton,81,081. Rockbridge County,"3-Principal Arterial - Other (E,2)",3-Two-Way Undivided,Urban,VDOT Primary,6,1. State Hwy Agency,Central Shenandoah,,R-VA   US00011SB,205.08,581145,169.01,-79.42561436,37.79328114
29,172005046,2017,7/17/2017 4:00,2141,O,0,0,0,0,0,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",4. Four Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,Yes,No,Yes,Yes,5. Hampton Roads,99,099. York County,"3-Principal Arterial - Other (E,2)",3-Two-Way Undivided,Urban,VDOT Primary,5,1. State Hwy Agency,Hampton Roads,HAMP,R-VA   US00017SB,62.94,672168,105.97,-76.47518147,37.17316332
30,173545142,2017,12/20/2017 5:00,555,O,0,0,0,0,0,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),4. Darkness - Road Lighted,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,5. Guard Rail,1. On Roadway,No,No,Belted,No,No,No,No,Yes,No,No,No,No,No,,RD_RIGHT,Not Intersection,No,No,Yes,Yes,5. Hampton Roads,121,121. City of Newport News,"1-Interstate (A,1)",4-Two-Way Divided,Urban,VDOT Interstate,5,1. State Hwy Agency,Hampton Roads,HAMP,R-VA   IS00064EB,256.3,,,-76.48758949,37.11359666
31,172605128,2017,9/17/2017 4:00,1343,B,0,0,2,0,2,0,0,2,1. Rear End,5. Rain,2. Daylight,2. Wet,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,Yes,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,Yes,No,5. Hampton Roads,131,131. City of Chesapeake,"4-Minor Arterial (H,3)",4-Two-Way Divided,Urban,NonVDOT secondary,5,3. City or Town Hwy Agency,Hampton Roads,HAMP,S-VA131NP GREENBRIER PKWY,1.89,729209,370.57,-76.22827191,36.77054218
32,171805210,2017,5/28/2017 4:00,2351,C,0,0,0,1,1,0,0,1,10. Deer,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,23. Animal,4. Roadside,No,Yes,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,No,No,Yes,Yes,5. Hampton Roads,47,047. James City County,"3-Principal Arterial - Other (E,2)",3-Two-Way Undivided,Urban,VDOT Primary,5,1. State Hwy Agency,Hampton Roads,HAMP,R-VA   SR00143NB,27.33,1288628,238.65,-76.59754241,37.2137212
33,173385219,2017,11/29/2017 5:00,637,O,0,0,0,0,0,0,0,1,10. Deer,1. No Adverse Condition (Clear/Cloudy),1. Dawn,1. Dry,8. Non-Intersection,3. Grade - Straight,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,23. Animal,1. On Roadway,No,Yes,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,Yes,No,4. Richmond,37,037. Goochland County,2-Principal Arterial - Other Freeways and Expressways (B),4-Two-Way Divided,Rural,VDOT Primary,1,1. State Hwy Agency,Richmond Regional,RICH,R-VA   SR00288NB,27.12,,,-77.66952539,37.59264546
